timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-07-27T22:58:26.535,39558.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T22:59:26.535,3105.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:00:26.541,32218.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:01:26.540,61406.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:02:26.540,25013.0,started,538.98,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:03:26.540,54111.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:04:26.540,17793.0,started,542.13,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:05:26.550,46921.0,started,539.57,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:06:26.540,10453.0,started,540.35,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
2017-07-27T23:07:26.540,39521.0,started,541.54,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,34,03000400,2017-07-24T10:00:36,2017-07-27T17:13:49,13,03000400,2017-07-24T10:00:36,2017-07-27T19:34:41,35,03000400,2017-07-24T10:00:36,2017-07-27T16:53:37,38,03000400,2017-07-24T10:00:37,2017-07-27T19:44:38,32,03000400,2017-07-24T10:00:37,2017-07-27T19:55:29,34,03000400,2017-07-24T10:00:38,2017-07-27T19:55:29
