,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
0,2017-07-31T22:58:29.447,12863.0,started,538.78,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,67,3000400,2017-07-24T10:00:36,2017-07-31T22:53:16,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,21.0
1,2017-07-31T22:59:29.447,41901.0,started,538.78,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,67,3000400,2017-07-24T10:00:36,2017-07-31T22:53:16,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,56.0
2,2017-07-31T23:00:29.447,5358.0,started,538.78,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,67,3000400,2017-07-24T10:00:36,2017-07-31T22:53:16,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,41.0
3,2017-07-31T23:01:29.449,34381.0,started,537.6,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,67,3000400,2017-07-24T10:00:36,2017-07-31T22:53:16,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,52.0
4,2017-07-31T23:02:29.449,63389.0,started,539.76,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,67,3000400,2017-07-24T10:00:36,2017-07-31T22:53:16,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,46.0
5,2017-07-31T23:03:29.449,26876.0,started,538.98,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,3000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,56.0
6,2017-07-31T23:04:29.449,55929.0,started,538.98,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,3000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,48.0
7,2017-07-31T23:05:29.449,19416.0,started,540.55,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,3000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,47.0
8,2017-07-31T23:06:29.449,48484.0,started,537.99,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,3000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,53.0
9,2017-07-31T23:07:29.449,12001.0,started,537.4,ft/min,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,3000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,3000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,3000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,3000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,3000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,3000400,2017-07-24T10:00:37,2017-07-31T22:01:12,47,3000400,2017-07-24T10:00:38,2017-07-31T22:53:01,68.0
