timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-08-10T22:58:17.745,49313.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T22:59:17.745,12875.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:00:17.749,41853.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:01:17.745,5310.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:02:17.745,34333.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:03:17.745,63371.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:04:17.750,26858.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:05:17.750,55896.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:06:17.750,19368.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
2017-08-10T23:07:17.755,48361.0,started,539.17,ft/min,34,03000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,03000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,03000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,03000400,2017-08-03T19:15:26,2017-08-10T22:26:09
