timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-08-13T22:58:20.075,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T22:59:20.075,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:00:20.075,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:01:20.075,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:02:20.075,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:03:20.075,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:04:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:05:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:06:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:07:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:08:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:09:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:10:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:11:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:12:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:13:20.074,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:14:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:15:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:16:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:17:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:18:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:19:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:20:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:21:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:22:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:23:20.079,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
2017-08-13T23:24:20.093,57472.0,stopped,0.0,ft/min,41,03000400,2017-08-03T19:15:24,2017-08-11T22:27:23,56,03000400,2017-08-03T19:15:25,2017-08-12T00:07:07,52,03000400,2017-08-03T19:15:25,2017-08-11T22:07:06,49,03000400,2017-08-03T19:15:26,2017-08-12T00:40:17
