timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-08-07T22:58:15.402,4234.0,started,540.35,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,15,03000400,2017-08-03T19:15:26,2017-08-07T22:55:41
2017-08-07T22:59:15.402,33302.0,started,540.35,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,15,03000400,2017-08-03T19:15:26,2017-08-07T22:55:41
2017-08-07T23:00:15.402,62370.0,started,540.35,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,15,03000400,2017-08-03T19:15:26,2017-08-07T22:55:41
2017-08-07T23:01:15.402,25932.0,started,540.35,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,15,03000400,2017-08-03T19:15:26,2017-08-07T22:55:41
2017-08-07T23:02:15.420,55120.0,started,540.35,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,16,03000400,2017-08-03T19:15:26,2017-08-07T23:02:14
2017-08-07T23:03:15.402,18667.0,started,539.96,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,16,03000400,2017-08-03T19:15:26,2017-08-07T23:02:14
2017-08-07T23:04:15.402,47795.0,started,540.16,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,16,03000400,2017-08-03T19:15:26,2017-08-07T23:02:14
2017-08-07T23:05:02.388,37218.0,stopped,0.0,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,16,03000400,2017-08-03T19:15:26,2017-08-07T23:02:14
2017-08-07T23:05:15.402,37218.0,stopped,0.0,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,16,03000400,2017-08-03T19:15:26,2017-08-07T23:02:14
2017-08-07T23:05:28.000,37728.0,started,260.24,ft/min,13,03000400,2017-08-03T19:15:24,2017-08-07T13:10:23,18,03000400,2017-08-03T19:15:25,2017-08-07T16:45:06,21,03000400,2017-08-03T19:15:25,2017-08-07T14:21:36,16,03000400,2017-08-03T19:15:26,2017-08-07T23:02:14
